"id","mountainproject_id","name","route_type","rating","mp_stars","pitches","location","longitude","latitude","date_added","date_updated"
11,"105905544","The Mummy","Trad","5.5",4,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Amphitheater']",-81.8929,35.871,"2020-10-16 12:51:12.550689-04","2020-10-16"
12,"105898439","Fruit Loops","Trad","5.7+",4,"2","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.551408-04","2020-10-16"
13,"106451575","Invisible Airwaves","Trad, Aid","5.10c A2",4,"3","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'North Side']",-82.7909,35.3055,"2020-10-16 12:51:12.552021-04","2020-10-16"
14,"106039706","Maginot Line","Trad","5.7",4,"4","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Shortoff Mountain']",-81.9026,35.8314,"2020-10-16 12:51:12.552623-04","2020-10-16"
15,"105873517","North Ridge","Trad","5.5",4,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.553222-04","2020-10-16"
16,"106174037","Paradise Alley","Trad","5.8+",4,"4","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Shortoff Mountain']",-81.9026,35.8314,"2020-10-16 12:51:12.553865-04","2020-10-16"
17,"106923851","Crescent Crack","Boulder","V2",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Devil Boulder']",-82.2188,35.4498,"2020-10-16 12:51:12.554488-04","2020-10-16"
18,"105965582","Original Route (aka Gom Jabber)","Trad","5.11a R",4,"10","['North Carolina', 'Southern Mountains Region', 'Whiteside Mountain', 'Southeast Face']",-83.1358,35.0831,"2020-10-16 12:51:12.555168-04","2020-10-16"
19,"105937288","Comatose","Trad","5.8",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Comatose Area']",-82.2144,35.4498,"2020-10-16 12:51:12.5558-04","2020-10-16"
20,"105934845","The Seal","Trad","5.10-",4,"4","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'North Side']",-82.7909,35.3055,"2020-10-16 12:51:12.556674-04","2020-10-16"
21,"105891892","Sundial Crack","Trad","5.8-",4,"4","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'Nose Area']",-82.7954,35.3047,"2020-10-16 12:51:12.559353-04","2020-10-16"
22,"105874010","The Prow","Trad","5.4",4,"4","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Amphitheater']",-81.8929,35.871,"2020-10-16 12:51:12.561328-04","2020-10-16"
23,"105939182","Rat's Ass","Trad","5.8+",4,"3","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.562326-04","2020-10-16"
24,"105939175","Gemini Crack","Trad","5.8",4,"2","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.563835-04","2020-10-16"
25,"105940162","Construction Job","Trad","5.9",4,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Shortoff Mountain']",-81.9026,35.8314,"2020-10-16 12:51:12.564827-04","2020-10-16"
26,"105937346","Gunboat Diplomacy","Sport","5.10b",4,"2","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Flakeview Area']",-82.2183,35.4516,"2020-10-16 12:51:12.565534-04","2020-10-16"
27,"106831306","Creatures of Waste","Trad, Aid","5.10c A3",4,"4","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'North Side']",-82.7909,35.3055,"2020-10-16 12:51:12.566233-04","2020-10-16"
28,"106174053","Built to Tilt","Trad","5.10a/b",4,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Shortoff Mountain']",-81.9026,35.8314,"2020-10-16 12:51:12.56685-04","2020-10-16"
29,"105925492","My Route","Trad","5.6",4,"2","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.567475-04","2020-10-16"
30,"105874379","Second Coming","Trad","5.7",4,"2","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.568096-04","2020-10-16"
31,"106263454","Little Corner","Trad","5.6",4,"4","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Shortoff Mountain']",-81.9026,35.8314,"2020-10-16 12:51:12.568706-04","2020-10-16"
32,"105873530","Peek-a-Boo","Trad","5.5",3,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.569417-04","2020-10-16"
33,"105950764","Unfinished Concerto","Trad","5.9+",4,"3","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.570128-04","2020-10-16"
34,"106002311","Whisky For Breakfast","Trad","5.10d PG13",4,"2","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.570782-04","2020-10-16"
35,"105923513","Granola","Trad","5.8+",3,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.571484-04","2020-10-16"
36,"105950799","First Return","Trad","5.8",3,"1","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.5722-04","2020-10-16"
37,"105924900","Breakfast of Champions","Trad","5.10d",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.5729-04","2020-10-16"
38,"105882386","Slippin' into Darkness","Trad","5.9",3,"1","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.573515-04","2020-10-16"
39,"105925443","Crackerjack","Trad","5.8",4,"2","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.57413-04","2020-10-16"
40,"105874054","Jim Dandy","Trad","5.4",3,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.574742-04","2020-10-16"
41,"105980466","The Glass Menagerie","Trad","5.13a PG13",4,"7","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'North Side']",-82.7909,35.3055,"2020-10-16 12:51:12.575359-04","2020-10-16"
42,"106617876","Lost in Space","Trad","5.10b",4,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Hawksbill Mtn', 'Main Wall']",-81.8863,35.9134,"2020-10-16 12:51:12.576158-04","2020-10-16"
43,"105937411","Drivin' and Cryin'","Sport","5.10a",3,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Flakeview Area']",-82.2183,35.4516,"2020-10-16 12:51:12.576969-04","2020-10-16"
44,"105899475","Seconds","Trad","5.8+",4,"7","['North Carolina', 'Southern Mountains Region', 'Laurel Knob']",-83.0564,35.1503,"2020-10-16 12:51:12.578314-04","2020-10-16"
45,"106045504","Dinkus Dog","Trad","5.10a/b",4,"2","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.580103-04","2020-10-16"
46,"105874155","Cornflake Crack","Trad","5.11-",5,"3","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'North Side']",-82.7909,35.3055,"2020-10-16 12:51:12.580786-04","2020-10-16"
47,"106014851","Fathom","Trad","5.10a",4,"8","['North Carolina', 'Southern Mountains Region', 'Laurel Knob']",-83.0564,35.1503,"2020-10-16 12:51:12.58146-04","2020-10-16"
48,"106098708","Cave Route","Trad","5.5",3,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.582321-04","2020-10-16"
49,"106350315","Southern Boys Don't Wear Plaid","Trad","5.11b",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Screamweaver Area']",-82.2181,35.4513,"2020-10-16 12:51:12.583228-04","2020-10-16"
50,"105947730","Zydygo","Trad","5.10c",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Screamweaver Area']",-82.2181,35.4513,"2020-10-16 12:51:12.58394-04","2020-10-16"
51,"106065537","Bear Cub","Sport","5.7+",3,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Flakeview Area']",-82.2183,35.4516,"2020-10-16 12:51:12.584688-04","2020-10-16"
52,"106456174","Hidden Crack","Trad","5.7",3,"4","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.585898-04","2020-10-16"
53,"105874179","Bloody Crack","Trad","5.8+",3,"3","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.586647-04","2020-10-16"
54,"105972319","Bumblebee Butress","Trad","5.8",4,"4","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'North Carolina Wall']",-81.8917,35.8766,"2020-10-16 12:51:12.587347-04","2020-10-16"
55,"106615473","Rotator Cuff (SDS V6 Stand V5)","Boulder","V5-6",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Cave Boulder']",-82.2183,35.4502,"2020-10-16 12:51:12.587995-04","2020-10-16"
56,"105930790","Capt Crunch","Trad","5.10d",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.588628-04","2020-10-16"
57,"106923897","Captain Aslab","Boulder","V2",3,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Moby Dick Boulder']",-82.1627,35.3488,"2020-10-16 12:51:12.589261-04","2020-10-16"
58,"105937310","Rusty Redneck","Trad, Sport","5.10c",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Comatose Area']",-82.2144,35.4498,"2020-10-16 12:51:12.590415-04","2020-10-16"
59,"105950734","Peregrine","Trad","5.9",3,"4","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'Nose Area']",-82.7954,35.3047,"2020-10-16 12:51:12.592904-04","2020-10-16"
60,"106460672","Skip to My Lou","Trad","5.6",3,"2","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.594798-04","2020-10-16"
61,"106700575","Black Slab Right","Boulder","V3",3,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Cave Boulder']",-82.2183,35.4502,"2020-10-16 12:51:12.59584-04","2020-10-16"
62,"106924367","Basketball Mantle","Boulder","V3",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Hull Area', 'Shady Grove']",-82.2096,35.4617,"2020-10-16 12:51:12.596659-04","2020-10-16"
63,"108548398","Classic Overhang","Boulder","V3",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Classic Overhang']",-82.0489,35.1445,"2020-10-16 12:51:12.597373-04","2020-10-16"
64,"106520367","Safari Jive","Trad","5.11c",4,"2","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'North Side']",-82.7909,35.3055,"2020-10-16 12:51:12.598548-04","2020-10-16"
65,"105900646","Hyperbola","Trad","5.10a R",4,"4","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'Nose Area']",-82.7954,35.3047,"2020-10-16 12:51:12.599442-04","2020-10-16"
66,"105950776","Left Up","Trad","5.7+",3,"1","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.600096-04","2020-10-16"
67,"106923905","Short Crack","Boulder","V2-",3,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Short Crack Boulder']",-82.219,35.4499,"2020-10-16 12:51:12.600711-04","2020-10-16"
68,"106650459","Brackish One","Boulder","V4",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'East Side Boulders', 'Brackish Boulder']",-82.2143,35.449,"2020-10-16 12:51:12.601319-04","2020-10-16"
69,"106285720","Second Stanza","Trad","5.9",4,"4","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.601923-04","2020-10-16"
70,"106615419","Kung Fu Grip","Boulder","V5",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Cave Boulder']",-82.2183,35.4502,"2020-10-16 12:51:12.602522-04","2020-10-16"
71,"106968883","The Helicopter sds","Boulder","V4-5",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Washing Machine Boulder']",-82.1627,35.3488,"2020-10-16 12:51:12.603239-04","2020-10-16"
72,"106002384","Born Again","Sport","5.10+",3,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.603865-04","2020-10-16"
73,"106099503","Short Man's Sorrow","Trad","5.6",3,"1","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.604477-04","2020-10-16"
74,"105937338","Pull the Plug","Sport","5.11a/b",3,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Comatose Area']",-82.2144,35.4498,"2020-10-16 12:51:12.605085-04","2020-10-16"
75,"106065494","The Gift","Trad, Sport","5.7",3,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Flakeview Area']",-82.2183,35.4516,"2020-10-16 12:51:12.605848-04","2020-10-16"
76,"106623077","Chicken Head City","Trad","5.9",3,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Screamweaver Area']",-82.2181,35.4513,"2020-10-16 12:51:12.606574-04","2020-10-16"
77,"106040826","Julia","Trad","5.10b",4,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Shortoff Mountain']",-81.9026,35.8314,"2020-10-16 12:51:12.60726-04","2020-10-16"
78,"106918924","Seven Year Itch","Sport","5.11a",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Flakeview Area']",-82.2183,35.4516,"2020-10-16 12:51:12.607936-04","2020-10-16"
79,"107614682","Lichen Worms","Trad, Sport","5.8+",4,"1","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Hawksbill Mtn', 'Middle Hawksbill']",-81.8877,35.9126,"2020-10-16 12:51:12.608808-04","2020-10-16"
80,"106650450","Driver","Boulder","V4",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'East Side Boulders', 'Driver Boulder']",-82.2143,35.449,"2020-10-16 12:51:12.60963-04","2020-10-16"
81,"105902398","Gift Certificate","Trad","5.8",3,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Flakeview Area']",-82.2183,35.4516,"2020-10-16 12:51:12.61026-04","2020-10-16"
82,"105945079","Lakeview","Trad, Sport","5.10b",4,"2","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Lakeview Area']",-82.2143,35.449,"2020-10-16 12:51:12.610927-04","2020-10-16"
83,"107681661","If You Bolt It They Will Come","Sport","5.10a",3,"1","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Hawksbill Mtn', 'Middle Hawksbill']",-81.8877,35.9126,"2020-10-16 12:51:12.611605-04","2020-10-16"
84,"106898154","Good Heavens","Trad","5.5",4,"5","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Amphitheater']",-81.8929,35.871,"2020-10-16 12:51:12.612224-04","2020-10-16"
85,"105968848","Good Intentions","Trad","5.6",3,"1","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.612931-04","2020-10-16"
86,"106075582","Encore","Trad","5.11b",4,"","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Hawksbill Mtn', 'Lower Hawksbill']",-81.888,35.9135,"2020-10-16 12:51:12.613755-04","2020-10-16"
87,"107902591","Hyperbola Direct Start","Trad","5.11a",4,"1","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'Nose Area']",-82.7954,35.3047,"2020-10-16 12:51:12.614474-04","2020-10-16"
88,"106069637","Test Pilots","Sport","5.11d",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Test Pilots Buttress']",-82.2143,35.449,"2020-10-16 12:51:12.615429-04","2020-10-16"
89,"105924870","The Open Book","Trad","5.11b",4,"2","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Amphitheater']",-81.8929,35.871,"2020-10-16 12:51:12.616434-04","2020-10-16"
90,"106777973","Killer Whales","Trad","5.11a",3,"1","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'North Side']",-82.7909,35.3055,"2020-10-16 12:51:12.617191-04","2020-10-16"
91,"105939142","Dum Dee Dum Dum","Trad","5.10c PG13",4,"4","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'Nose Area']",-82.7954,35.3047,"2020-10-16 12:51:12.619337-04","2020-10-16"
92,"106777936","Fine Line","Trad","5.10c",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Flakeview Area']",-82.2183,35.4516,"2020-10-16 12:51:12.620062-04","2020-10-16"
93,"106587153","Flappin' In the Breeze","Trad, Sport","5.10a",4,"3","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Flapping.../Nuclear arms area']",-82.2143,35.449,"2020-10-16 12:51:12.62088-04","2020-10-16"
94,"106075576","The Fat Lady","Trad","5.11a",4,"2","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Hawksbill Mtn', 'Lower Hawksbill']",-81.888,35.9135,"2020-10-16 12:51:12.621816-04","2020-10-16"
95,"106322304","Bear Hunt","Trad","5.7+",3,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Flakeview Area']",-82.2183,35.4516,"2020-10-16 12:51:12.624008-04","2020-10-16"
96,"106390941","No Free Lunch","Trad, Sport","5.10c/d",4,"1","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Hawksbill Mtn', 'Middle Hawksbill']",-81.8877,35.9126,"2020-10-16 12:51:12.625987-04","2020-10-16"
97,"107771041","Supercrack","Trad","5.11d",5,"3","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Shortoff Mountain']",-81.9026,35.8314,"2020-10-16 12:51:12.627183-04","2020-10-16"
98,"105951288","Groover (Gaskin Finish)","Trad","5.8+",4,"6","['North Carolina', 'Southern Mountains Region', 'Laurel Knob']",-83.0564,35.1503,"2020-10-16 12:51:12.627938-04","2020-10-16"
99,"106652741","Silver Platter","Boulder","V2",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'East Side Boulders', 'Silver Platter Boulder']",-82.2143,35.449,"2020-10-16 12:51:12.628559-04","2020-10-16"
100,"106615455","The Green Knob (SDS V7 Stand V5)","Boulder","V7-",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Cave Boulder']",-82.2183,35.4502,"2020-10-16 12:51:12.62917-04","2020-10-16"
101,"106968889","The Campus Problem","Boulder","V5-",3,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Trailside Area', 'Trailside Boulder']",-82.2186,35.4494,"2020-10-16 12:51:12.629778-04","2020-10-16"
102,"107015382","Unknown 5.8 (splitter hand crack)","Trad","5.8",3,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.630399-04","2020-10-16"
103,"106354222","Bee Tree","Trad","5.5 PG13",2,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Cereal Buttress']",-82.2177,35.4458,"2020-10-16 12:51:12.631012-04","2020-10-16"
104,"106971331","Sleeping in the Devil's Bed","Boulder","V5",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Devil Boulder']",-82.2188,35.4498,"2020-10-16 12:51:12.631673-04","2020-10-16"
105,"105874515","The Sperm","Trad","5.9+",3,"4","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'North Side']",-82.7909,35.3055,"2020-10-16 12:51:12.632291-04","2020-10-16"
106,"107894592","Moby Dick","Boulder","V4",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Moby Dick Boulder']",-82.1627,35.3488,"2020-10-16 12:51:12.633078-04","2020-10-16"
107,"105951265","Groover Variation (Fischesser Finish)","Trad","5.8",4,"9","['North Carolina', 'Southern Mountains Region', 'Laurel Knob']",-83.0564,35.1503,"2020-10-16 12:51:12.633717-04","2020-10-16"
108,"107189454","North By Northwest","Sport","5.7",3,"5","['North Carolina', 'Southern Mountains Region', 'Stone Depot']",-82.8004,35.2591,"2020-10-16 12:51:12.634324-04","2020-10-16"
109,"106520422","The Odyssey","Trad","5.11-",5,"5","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'Sun Wall']",-82.7953,35.3031,"2020-10-16 12:51:12.634929-04","2020-10-16"
110,"107439819","Pit BBQ","Boulder","V6",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'East Side Boulders', 'The Pit']",-82.2143,35.449,"2020-10-16 12:51:12.635546-04","2020-10-16"
111,"106251142","Jeep's Chimney","Trad","5.10a/b",4,"1","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Hawksbill Mtn', 'Lower Hawksbill']",-81.888,35.9135,"2020-10-16 12:51:12.636247-04","2020-10-16"
112,"107284155","French Maid","Boulder","V7",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'French Maid Area']",-82.1627,35.3488,"2020-10-16 12:51:12.636887-04","2020-10-16"
113,"107924482","Patio Roof","Boulder","V8",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'The Terraces']",-82.1627,35.3488,"2020-10-16 12:51:12.637609-04","2020-10-16"
114,"114186546","Gone Missing","Boulder","V3",4,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Trailside Area', 'Trailside Boulder']",-82.2186,35.4494,"2020-10-16 12:51:12.638867-04","2020-10-16"
115,"107614653","Pseudo Hardmen","Sport","5.11a",3,"1","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Hawksbill Mtn', 'Middle Hawksbill']",-81.8877,35.9126,"2020-10-16 12:51:12.639777-04","2020-10-16"
116,"105906148","Zodiac","Trad","5.8+",3,"1","['North Carolina', 'Southern Mountains Region', 'Looking Glass Rock', 'South Side']",-82.7923,35.3005,"2020-10-16 12:51:12.640534-04","2020-10-16"
117,"106820756","Star Trekin'","Trad","5.10b",4,"2","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Hawksbill Mtn', 'Main Wall']",-81.8863,35.9134,"2020-10-16 12:51:12.641158-04","2020-10-16"
118,"106135272","What's Up Doc?","Trad, Sport","5.10+ PG13",4,"1","['North Carolina', 'Northern Mountains Region', 'Linville Gorge', 'Table Rock']",-81.8852,35.8883,"2020-10-16 12:51:12.641773-04","2020-10-16"
119,"106615393","The Ladder","Boulder","V1",3,"","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Rumbling Bald Bouldering', 'West Side Boulders', 'Cave Boulder']",-82.2183,35.4502,"2020-10-16 12:51:12.642434-04","2020-10-16"
120,"106350327","Black Planet","Trad","5.12a",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Screamweaver Area']",-82.2181,35.4513,"2020-10-16 12:51:12.643067-04","2020-10-16"
121,"106670543","Screamweaver","Trad","5.11c/d",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Screamweaver Area']",-82.2181,35.4513,"2020-10-16 12:51:12.643675-04","2020-10-16"
122,"106100372","Hickory Nutcracker","Trad","5.10+",4,"1","['North Carolina', 'Southern Mountains Region', 'Rumbling Bald', 'Hickory Nutcracker Area']",-82.2143,35.449,"2020-10-16 12:51:12.64428-04","2020-10-16"
